label,text
肯定,就是我干撒
恢复词,我想了一下可以的
否定/拒绝,为什么要我还不还
肯定,哦有
电话号码,你可以重新说一次你那客服电话
质疑机器人,你不是真的人吧
打错了,一直打一直打电话都被打爆了
加下微信/发信息/发个短信/发资料,发一下给我
咨询利息/费用,会员费怎么说
质疑机器人,语音拨号
犹豫中/考虑下,可以考虑
恢复词,哦哦哦您好
咨询利息/费用,。如何算的费：用
犹豫中/考虑下,嗯嗯我暂时不确定
号码是哪来的,手机号码码哪里来
肯定,啊知道了好的谢谢啊
打错了,不认识打错了
期数,办理了六期分期现在能不能一起还了
没通过怎么办,怎么老是审核通过不
号码是哪来的,怎么知道道我电话话
号码是哪来的,你怎么知道道我的手机号码
肯定,可以可以可以
否定/拒绝,没做了
调戏AI,三十多
加下微信/发信息/发个短信/发资料,资料料发到
否定/拒绝,没做
重复,说是什么
否定/拒绝,啊没有了
额度太少,额度比较低了没用
恢复词,哎你好
肯定,嗯好吧
肯定,是我一直在用用了很久了勒
肯定,嗯知道我知道
没通过怎么办,你们不通过我的申请
会不会放款失败,确认借款后是不是一定到账
号码是哪来的,号码码怎么获
否定/拒绝,不行你们要跑路
否定/拒绝,没得时间处理
打过了/不要打电话,别打给我
咨询额度-通用,你说一千多块钱
咨询利息/费用,利息费介绍介绍
肯定,啊对怎么
否定/拒绝,不行
额度太少,额；度低
之前被拒了,我的审核被你们拒绝了
肯定,行啊
咨询利息/费用,有几分利
骗子/骗人,是诈骗
什么平台,怎么称呼你
调戏AI,多大了
运营商提示音,好我会及时提醒他的。你还有什么事情吗
加下微信/发信息/发个短信/发资料,发个信息息到我手机机上
肯定,嗯知道了。
否定/拒绝,不是啊
恢复词,还有要说
快说重点,挑重点讲
打过了/不要打电话,都打过了
投诉,我要投诉你们一个推售员了
没印象,买过吗没印象了
在忙/在开会/在开车,我很忙有事就说
否定/拒绝,不要不要谢谢啊
运营商提示音,你们的优惠活动我会转告他看看的还有别的事吗
咨询提前还款,为什么我提前结清不扣钱
否定/拒绝,确定不了
在忙/在开会/在开车,我现在正在忙等会再打来
肯定,我app有
咨询利息/费用,我知道我是说那个利息有多少
号码是哪来的,怎么知道道我手机号码码
快说重点,快讲
打过了/不要打电话,刚刚不是才打了了
打过了/不要打电话,我又不是不还钱一直给我打电话干什么
肯定,要知道知道了好了
肯定,恩好的谢谢啊谢谢啊
肯定,还有我下午就交下午我就交啊我以为暂时不用交了还钱了
在忙/在开会/在开车,过会儿打给我吧
否定/拒绝,太高了不需要
加下微信/发信息/发个短信/发资料,发点资料
无法登陆APP,登录不上锦囊贷APP
上征信,有什么影响不对征信
质疑数据安全,这个靠谱吗
肯定,已经领了
肯定,我需是需要我好久就注册了你们公司
肯定,是本人怎么了
咨询操作,怎么看呢
号码是哪来的,哪来我的手机号码
打错了,给你说了你打错了我没有作家装
没通过怎么办,什么样的是审批不通过
肯定,好的我知道谢谢
通过率,通过的概率
在忙/在开会/在开车,我还在上班下班啦说
咨询利息/费用,他的利息呢
在忙/在开会/在开车,忙着呢先不说了
加下微信/发信息/发个短信/发资料,短信信息发
肯定,我有
投诉,去死
没通过怎么办,我都具备申请的条件了； 为；何：不通过
肯定,嗯好好行行
额度太少,啊不用不用那种金额太小了不用了
电话号码,打电话给客
在忙/在开会/在开车,过会儿
质疑机器人,智能电话
肯定,嗯我之前
加下微信/发信息/发个短信/发资料,发我你的微信息信息号
有印象,这个我有印象
加下微信/发信息/发个短信/发资料,留个微信息
肯定,好吧我再试试
号码是哪来的,你怎么有我号码
质疑数据安全,正不正规啊
投诉,脑子秀逗
否定/拒绝,嗯暂时不需要吧
咨询额度-通用,我说那点点钱拿来有什么用
肯定,我知道我有
咨询操作,呃好吧我看不会弄我就弄我会弄我就不弄
恢复词,说话嘞
咨询额度-通用,额度
咨询额度-通用,XX贷款能借多少
没通过怎么办,我已经全部真实信息 而且信用良好为何申请不通过
咨询利息/费用,利息几！厘??
不舒服,喉咙痛
肯定,好了好了知道了。恩
什么平台,你是谁？哪里的？
肯定,啊可以啊
咨询额度-通用,5万能贷不
肯定,是的有什么事情
否定/拒绝,不联系了
打错了,不是您打错了
恢复词,哦说。
肯定,嗯好的好的
号码是哪来的,怎么知道道我家号码
肯定,嗯嗯应该可以
标记号码,外显号码被标记
号码是哪来的,咋知道道我有需
不专业,你们公司不专业
运营商提示音,我是专当网上接电话的仆人你有什么事吗
否定/拒绝,不要了
咨询提前还款,我本来是现金分期还款的现在但是现在我要提前接听怎么做啊
咨询利息/费用,费用1981多少
肯定,对啊我是
肯定,我在处理明白了
肯定,我说我之前
恢复词,听到你说了。
电话号码,我怎么联系你
没通过怎么办,怎么;借款不通过了
打错了,呃不是不是打错了
什么平台,你是哪里的
咨询利息/费用,费高么吗
肯定,对的我是
咨询提前还款,我现在提前换是不是月底就不会产生费用了
运营商提示音,本次呼叫将以微信的消息方式通知我。
否定/拒绝,嗯那面好好好啊不用哈
额度太少,呃度太夸张了没意思
什么平台,请问哪里？你说
打错了,不是打错了哈
电话号码,联系电话
肯定,恩是的
咨询额度-通用,每日贷款额度？
质疑机器人,真人还是机器人
犹豫中/考虑下,不确定我是问一下
利息高,贷款利息这么高吗
加下微信/发信息/发个短信/发资料,发我资料料看
什么平台,啊对哎哪位
没通过怎么办,过不了
什么平台,姓什么
咨询利息/费用,利息！是如何算的
咨询提前还款,请问提前还款怎么还
额度太少,喂！你们这儿额？度：太低了
质疑机器人,你应该是机器人你是机器
肯定,好哒谢谢
肯定,有啦
已经申请到了,事实上已经申请到了
利息高,贷款利息那么贵吗
人工服务,转一下人工
咨询额度-通用,贷款额度一般是怎样的
咨询操作,嗯嗯是这样！咋？整啊不：会弄啊
申请条件,资质要什么
否定/拒绝,我拒绝回答
调戏AI,你好看吗
肯定,嗯行女士
否定/拒绝,没有相关需求
咨询利息/费用,利；率
打错了,呃你打错了打错了
咨询提前还款,我预约提前还款怎么还不能返款
否定/拒绝,我不需要谢谢
加下微信/发信息/发个短信/发资料,发个信息息给我
号码是哪来的,怎么来的我电话
肯定,好谢谢谢你
质疑机器人,像电子音
申请条件,我怕我不满足你们？这个？条？件
否定/拒绝,没有滚
额度太少,额度花花卡太小了没用得
咨询利息/费用,费是如何算计算的
肯定,是我怎么了
否定/拒绝,还不考虑
咨询操作,嗯怎么办理嗯嗯呢
打过了/不要打电话,给我打过电话
骗子/骗人,靠谱不
在忙/在开会/在开车,我很忙等下再说
额度太少,你那个额度太小了
没通过怎么办,贷款不通过；是提示。什。么的
调戏AI,多大年龄能办
打款渠道,在哪里领这笔钱呢
加下微信/发信息/发个短信/发资料,发我QQ
额度循环,循环使用怎么操作
否定/拒绝,不太好
否定/拒绝,干这个的
咨询提前还款,这款提前还钱
电话号码,如何找你
号码是哪来的,咋知道道我有资金需
加下微信/发信息/发个短信/发资料,给些资料
在忙/在开会/在开车,我有事先挂了
否定/拒绝,转行
打错了,按打错老师一手
运营商提示音,我会告诉他你想玩微信聊下理财的事请问还有别的要转达的吗
肯定,嗯好不用
有信用问题/逾期记录能借款吗,欠了很多钱征信比较差影响贷款吗
打错了,不做装修你打错了哈
恢复词,嗯跟我讲一下
投诉,我投诉
咨询额度-通用,不能用啊哪里可以用啊哪里都是没有额度的
肯定,哦。对啊
在忙/在开会/在开车,没有时间我在上班
犹豫中/考虑下,等会儿再说
上征信,影响征信吗
否定/拒绝,一点都不好
咨询提前还款,分期提前付款
调戏AI,能请你吃饭吗
质疑数据安全,咨询下这靠不靠谱啊
加下微信/发信息/发个短信/发资料,发给我发短信信息
在忙/在开会/在开车,嗯嗯有空再说吧
加下微信/发信息/发个短信/发资料,发条短信信息
人工服务,我。要转人？工
质疑数据安全,咨询下这安不保密啊
否定/拒绝,不可以
否定/拒绝,恩不用不需要
肯定,知道知道。
否定/拒绝,目前没有这个需求
号码是哪来的,哪里来的号码
什么平台,哎我说你是谁？
咨询利息/费用,如何算的保费
咨询利息/费用,你们利息怎么算呢
额度太少,额度也太低了吧
肯定,我是啥子事
在忙/在开会/在开车,晚点别打电话我在开会
没通过怎么办,你好怎么我的取现不通过的？
肯定,那我原来我也
提额券,额度提升
上征信,会不会影响我的征信
肯定,好明白了。
恢复词,哎什么事啊？
质疑机器人,电话录音
没通过怎么办,。我申请提现三两三天了都不通过
肯定,好的谢
额度太少,对额度太低了；不用
提额券,怎么升级额度
恢复词,听听
咨询提前还款,我点的提前还款
肯定,ok。好
运营商提示音,我会帮你转达的还有什么能帮到你吗
咨询操作,怎么一下款
咨询利息/费用,保险费费用
咨询利息/费用,一天从怎么300多变成600多了
肯定,恩好的啊
否定/拒绝,不可以处理不了
在忙/在开会/在开车,现在没有时间我知道了
什么平台,这是什么地方呢
重复,什；么事啊
肯定,了解谢谢
肯定,确定你
电话号码,你们怎么显示不是这个号码这个号码不是你们锦城消费的
肯定,嗯听得到吗？
肯定,就是我没错
恢复词,那还可以
肯定,能听到。
不舒服,还没出院
申请条件,条件需要什么
犹豫中/考虑下,到时候再说
